t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.0594763544759554	0.355626054596751	0.0631220260300742	0.156656915876315	0.45196096147667	0.133287364494688	0.0965608146327415	0.393107076779935	0.0996397086133479	0.0875918521143894	0.37903255759956	0.0907035298688077	0.107680714864513	0.408286951749277	0.105330383370543
1001	0.0178945562919221	0.224246444425311	0.0234464927175193	0.0561779826690464	0.312660244036205	0.0480510770492249	0.0306790014804924	0.257360583174485	0.0331173562544504	0.0273469333017133	0.245155394619907	0.0285717363471031	0.0374721008272138	0.269778287339431	0.0379286608402278
2001	0.00700754594130769	0.164312510939819	0.00928176836891567	0.0230670513329909	0.233562932086107	0.0218683568856232	0.0123506781850986	0.187829672687476	0.0142129760284021	0.0108242930598835	0.175989748257147	0.0128279917271705	0.014352478345831	0.197868565411413	0.0166213164001023
3001	0.00280933998687732	0.122460164355259	0.00376159683250448	0.0114962666560492	0.184901982990129	0.0108764357723634	0.00533401830797616	0.148591305094952	0.0068844509852036	0.00445316696848646	0.13905746279334	0.00578314901263338	0.00658215592049443	0.156510526872719	0.00828782935455359
4001	0.00112584707577708	0.0986871346726306	0.00197874644715842	0.00506958055058916	0.151496301240786	0.00691079339772152	0.00244773990953068	0.121197074540162	0.00336215526577362	0.00202939755352706	0.113530873110773	0.00278270072641023	0.00332963046487327	0.127477168526687	0.00443340528176392
5001	0.000487063079276353	0.0831757784679585	0.000814240067749474	0.0028989954492596	0.128661975818689	0.0038659516760595	0.00118851605027429	0.102345776383888	0.00169012605980021	0.00092095123908392	0.0952139856423202	0.0014145489762547	0.00155271543970061	0.107886879274622	0.0023296666993406
6001	0.000195319277683368	0.0685576725875116	0.000303826545547624	0.00157826481075989	0.112256000552315	0.00212672406447593	0.000576697894846826	0.0880778171351515	0.000905582439216966	0.000419660850516943	0.0814728383096701	0.000735449286527841	0.000748226336906294	0.0923274385784768	0.00124147978887104
7001	7.58321627919698e-05	0.0597299531642029	0.000126139904921731	0.000835902257252079	0.0970319653356393	0.00128168751763634	0.000269254891997179	0.0761716422467829	0.000495390595776041	0.000200864932073214	0.0700027222931433	0.00037794969236792	0.000398810852018521	0.0804744025588401	0.000675421256039562
8001	3.42030922394078e-05	0.0512714882572031	6.32608484275478e-05	0.000430519432909265	0.086167883002713	0.00070978353607833	0.000137601502581064	0.0671109233789002	0.000271415874010483	9.63167074427978e-05	0.0607443866696442	0.000190003657780747	0.000189267802848219	0.0712286310890799	0.000382929876509497
9001	1.54140538249443e-05	0.0450603192183402	2.5641772393188e-05	0.000290288866414656	0.0767447298875323	0.000453341663290554	6.49433676851948e-05	0.0592196847235853	0.000144778968245281	4.70656443727614e-05	0.0538761785090739	0.000102000891906624	9.40864609060832e-05	0.0634074627940373	0.000214932558712859
10001	7.14098908003184e-06	0.0401938890170019	1.26180637104315e-05	0.000153164608847218	0.0692753888462175	0.000279629405495011	2.99528181058296e-05	0.0523282578701072	7.90683814143722e-05	2.21812418958218e-05	0.0484155871245592	5.84381228125106e-05	4.81138096658484e-05	0.0563913661410101	0.000119624939154426
11001	3.2148852844828e-06	0.0343086087209874	6.39568232941527e-06	6.66888353055505e-05	0.0625192514595476	0.000178405508776717	1.3899585741985e-05	0.0470948906744161	4.40293674511496e-05	1.0978819815299e-05	0.0430291076363747	3.01140373131743e-05	2.56579982973382e-05	0.0507340812367082	7.06408509340761e-05
12001	1.24136733662001e-06	0.0309223319161418	3.31832324034145e-06	3.66300980319115e-05	0.056548361589514	9.78926691261424e-05	7.67920995173494e-06	0.0422407616097842	2.47580358548967e-05	5.44642502405956e-06	0.0384954970769554	1.71646615615258e-05	1.3262708005194e-05	0.0454508119589031	3.93370117669744e-05
13001	6.07176520727263e-07	0.02804351003379	1.51621660592404e-06	1.83760194594206e-05	0.0519365420425878	5.78939199167517e-05	3.61300436470225e-06	0.0380212518664798	1.33434640524049e-05	2.46016096431554e-06	0.0350517649402824	9.677435636153e-06	6.60117104754356e-06	0.0409879221842532	2.13301145137149e-05
14001	2.50012674367129e-07	0.0249390021131958	6.5110804855709e-07	1.03581221900199e-05	0.0471601632472399	3.46903929359775e-05	1.9460022336414e-06	0.0343815217959983	7.63364585462825e-06	1.2256419675132e-06	0.031678499415135	5.11805051880937e-06	3.10762054259005e-06	0.0371116435688944	1.22688005070542e-05
15001	1.10231168873303e-07	0.0227325723945278	3.43308380371592e-07	5.1552742676069e-06	0.0441223785479017	2.15175328224277e-05	9.70304558576532e-07	0.0311396284622581	4.17378253007152e-06	5.41802139479341e-07	0.0286371417645783	2.84457732499434e-06	1.8111715268615e-06	0.0340599924588413	6.43728594038224e-06
16001	4.5673157936038e-08	0.0205713112859243	1.75966183092147e-07	3.17659535355455e-06	0.0402108643847106	1.17930351362516e-05	4.62051587366003e-07	0.0283449660954009	2.42433376812146e-06	2.64564501038903e-07	0.0258814078616015	1.59317322257847e-06	8.378594695933e-07	0.0310847902911445	3.62916482326418e-06
17001	1.83509984455308e-08	0.0186270080720152	8.42702744938625e-08	1.51664733807422e-06	0.0368219002585493	7.26613077778893e-06	2.31439415083096e-07	0.0259656379458576	1.35301533721072e-06	1.33436043295809e-07	0.0237024938722756	8.78562375052444e-07	4.38115909812273e-07	0.0283375832833141	2.31096396000188e-06
18001	8.57655821645068e-09	0.0169839549916289	4.13348942636486e-08	7.89708408001035e-07	0.0344764213350327	3.8909038472497e-06	1.19433069641309e-07	0.0238768929771228	7.2675970544535e-07	6.33782763597107e-08	0.0216811888776468	4.70490784465033e-07	2.463207339734e-07	0.0260412458815414	1.19093119464537e-06
19001	3.89781323387028e-09	0.0156110073531603	2.19064947865413e-08	4.8090969280041e-07	0.0323325189189142	2.3873300600522e-06	6.14621230912997e-08	0.0219034819680063	4.13578805995513e-07	3.30920632365513e-08	0.0199033154883626	2.70421222892168e-07	1.17575174315948e-07	0.0240199992394405	6.95473573013402e-07
20001	1.56691443376156e-09	0.01413051628462	1.21867593791719e-08	2.45139377156591e-07	0.0297681756622404	1.61461776544456e-06	3.14022604459471e-08	0.0205345483119769	2.35946968330986e-07	1.45276450441421e-08	0.0181148087634935	1.51706072047015e-07	6.48637615291802e-08	0.0223542240483878	3.94528463140906e-07
21001	7.40263663972882e-10	0.0130969510220617	9.37431644364397e-09	1.43967073762474e-07	0.0282179306024862	8.63439364764667e-07	1.48899691476385e-08	0.0187837006726514	1.38791365653235e-07	7.23971208274279e-09	0.0167400309308107	8.16042242868057e-08	3.05171678397239e-08	0.0206616064778393	2.32664220007417e-07
22001	4.71380733203297e-10	0.0119632041076283	8.35696642195645e-09	7.73315427071578e-08	0.0264073939716216	5.32026645227629e-07	8.55046214737577e-09	0.0173532427330328	8.48865578329436e-08	3.52556675749264e-09	0.0153472149351262	4.35871708998651e-08	1.57741436826848e-08	0.0191083619797748	1.22050635964853e-07
23001	1.97199186386781e-10	0.0110077144213132	8.1696231852095e-09	4.04344871377074e-08	0.0248889046149278	3.53504967366167e-07	4.29790550652957e-09	0.0159838229547563	4.92478330215461e-08	1.7660584674882e-09	0.0142539677679764	2.47668981963525e-08	9.06688439722757e-09	0.017919983206975	6.92617490594503e-08
24001	8.70829424866796e-11	0.0101836892888065	7.91899202389848e-09	2.27378556667932e-08	0.0231103395309752	2.15729211332497e-07	2.00094316698294e-09	0.0146990005613858	2.96847094721916e-08	9.00417247135353e-10	0.013195686416654	1.54649096858605e-08	4.97388804074726e-09	0.0165690008096283	4.33849036209007e-08
25001	4.00329077527867e-11	0.00935672809029155	7.40264069467109e-09	1.40119052634758e-08	0.0219306605447778	1.28518244126258e-07	1.03307186202365e-09	0.0136632849236899	1.66105885927665e-08	4.268815823599e-10	0.0121404603970515	1.09183855830955e-08	2.60029569904483e-09	0.015405983251	2.59532890245888e-08
26001	1.85643325657327e-11	0.00868889392899827	7.36310220175518e-09	6.17720006183915e-09	0.020518302794259	7.53461743706368e-08	4.88160736066988e-10	0.0126407668367792	1.15162859581904e-08	2.11327481765257e-10	0.0111765177570158	8.79094413162885e-09	1.35300952917712e-09	0.0143442021301977	1.56269239651887e-08
27001	9.21790324432745e-12	0.00811316856594835	7.32545285074892e-09	3.52379233846541e-09	0.0191983397497207	4.52980785260662e-08	2.42917843210607e-10	0.0117260987767645	9.32846979391352e-09	1.04122279117162e-10	0.0102852509962913	8.43698625079128e-09	6.89712996685307e-10	0.0132826906101385	1.10802513587276e-08
28001	4.15897090760681e-12	0.00751648848441224	7.2878774714368e-09	1.75746684544573e-09	0.0178768031781175	2.5425191536543e-08	1.26547189339502e-10	0.0108983632835697	8.49836406218231e-09	5.12452910975592e-11	0.00947158843502621	8.08563665330196e-09	3.48327626305825e-10	0.0124546403841473	9.39492098158556e-09
29001	1.85751364348575e-12	0.00707588817647521	7.15295428575636e-09	9.79468979870983e-10	0.0169047413982145	1.73396583988346e-08	6.26081690806513e-11	0.0102223885049805	8.26237559653194e-09	2.48264829659768e-11	0.00877087204171229	7.85242895333905e-09	1.88307609721635e-10	0.0115330360097608	8.82142676975806e-09
30001	9.06167957328037e-13	0.00649557935988689	7.11462090979566e-09	5.4548079711036e-10	0.0161828562975909	1.17723400086756e-08	3.39864215199239e-11	0.00938008165137635	8.02999134040393e-09	1.30152268674936e-11	0.00810646821262601	7.68553428580636e-09	1.01329205834688e-10	0.0107959709424972	8.36874530142135e-09
31001	3.7183670508344e-13	0.0059473457038859	7.0715508089883e-09	3.05874623617303e-10	0.0150252087152345	9.36005354569779e-09	1.61765433309886e-11	0.00876350829059536	7.91101973530621e-09	6.32426687423483e-12	0.0076095782722366	7.58199255952468e-09	5.81262036047514e-11	0.010094567746563	8.32257621091259e-09
