t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.0768923333698623	0.355626054596751	0.074958056290155	0.107682557945874	0.406814194476657	0.101254944031085	0.0945743216233426	0.376494403060055	0.0812082624032375	0.0871253677474395	0.374115645290536	0.0785143066747156	0.0973826675423314	0.391617293519554	0.0934232555696552
1001	0.0252502411448144	0.224246444425311	0.0270157052688318	0.0317335723098603	0.249274786717189	0.0321333752948472	0.0278849903589085	0.232535793664593	0.0272632508941302	0.0257288552916179	0.232286885956801	0.0272490751424689	0.028712547814034	0.246317950521769	0.0289317014764029
2001	0.00977415405567889	0.164830740631935	0.00928176836891567	0.0127611884027414	0.181787761497147	0.0146651413555311	0.0116837307018221	0.167617006365293	0.0121416948690552	0.0103098970383148	0.166908847433382	0.0115812380540193	0.0119420073171806	0.170732231767141	0.0134629869568676
3001	0.00321888768912508	0.124800662094217	0.00376159683250448	0.00553443545326065	0.142515043404277	0.00890937415058186	0.00450874939865293	0.131276465319014	0.00497294446767912	0.00432248556866238	0.131207633417173	0.00479315719414773	0.00535527720778697	0.134925715623552	0.00630404694251533
4001	0.00135461148316163	0.0986871346726306	0.00203499210367805	0.00244370968879816	0.11964789396349	0.00390913049726919	0.00225503300843044	0.107001834384875	0.00263415980274127	0.00198432115704832	0.106808072832649	0.00234433710673533	0.00239931683143778	0.111474918328762	0.00287829846078454
5001	0.000578560634831866	0.0831757784679585	0.000820329212684522	0.00143343056107507	0.10471908262537	0.00200201086528576	0.00105249491941552	0.0918120044794981	0.00129468987839842	0.000905252584221245	0.0879684918346315	0.00122615776478296	0.00128425636925965	0.0941587521295642	0.0014774748655851
6001	0.000222463567426119	0.0695691336140014	0.000387083895863176	0.000666345264592642	0.0865268433445589	0.00119036519562136	0.000606128349245958	0.0793157883019678	0.000677146243656433	0.000416688136241212	0.0774086686860741	0.000658540174547795	0.000625187537502667	0.0799864009350225	0.0006901556863051
7001	0.000107688673842047	0.0604178028640426	0.000169423221885381	0.000293497402820653	0.0751126088864924	0.000648208953624232	0.000281308245346746	0.0694671187512768	0.000338489362149975	0.000200680494878369	0.0692493181024573	0.000306513400141471	0.000292751284114074	0.0696320433089312	0.000374756171531563
8001	4.24921489684081e-05	0.0528316977799421	8.80220130147268e-05	0.000154390480188224	0.0665035437836157	0.000332284295745599	0.000139174181726409	0.0599973333402632	0.00016030026381695	0.000106288636789609	0.0593100061627747	0.000149118505672302	0.000141875222503519	0.0610075480970731	0.000175204751740995
9001	1.80489472936855e-05	0.0458427019604505	4.04378990387596e-05	7.73622285780521e-05	0.0591074579641864	0.000187832982111979	6.83672744161822e-05	0.0531834838255531	8.13849403533883e-05	5.13739323287192e-05	0.0529678577214453	7.68913783528227e-05	7.28421372459751e-05	0.0536181580376654	8.97485640207293e-05
10001	7.14098908003184e-06	0.040751867336152	2.02970011788997e-05	3.63078977047034e-05	0.0523442196028155	0.000122486755553899	3.23406798525972e-05	0.0477718302488139	4.66560164467651e-05	2.62861820573832e-05	0.0469212518783698	3.99827825167644e-05	3.43209346687188e-05	0.0482736255124112	5.35643443718845e-05
