t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.0718699338765158	0.291922862067819	0.0785360786834173	0.0855807474830887	0.357249465089622	0.09925798951031	0.0781282399303629	0.316692616966563	0.0828017801886935	0.0772610326060427	0.29791583273232	0.0825496383809421	0.0850891666571128	0.32139823176561	0.091194502771399
1001	0.0187394416239152	0.177483365171812	0.0344635475617514	0.0236641258958663	0.216347823205729	0.0455876693844787	0.0227983166044349	0.184289472703714	0.0368374118439905	0.020465511140198	0.182982375643059	0.0365555272418323	0.0228265767994027	0.198284462183799	0.0376280072148118
2001	0.00629693138406243	0.126255017151527	0.0203945542167291	0.00798571772015891	0.149390405988939	0.0275280812710459	0.0075995493861333	0.132955596133312	0.0224684956362987	0.00705661387773675	0.129074946141314	0.0211233534130616	0.00767857658004119	0.148455983346131	0.0233936955752805
3001	0.00209309005479646	0.100121815217257	0.0139818592835435	0.00362405511464862	0.116525551508046	0.0171151177060478	0.00260339540290635	0.104530262908971	0.0159138920736442	0.00255009114189916	0.101342954061515	0.0153449784490753	0.00305455559552828	0.115574607004325	0.0160252425406702
4001	0.00097070183844791	0.0833018810324885	0.00992083166541974	0.00155948371573784	0.0960413420023099	0.0134913556877136	0.00110602905252478	0.0862496548121814	0.0118002316353433	0.00102229601752369	0.0833196914767621	0.011152135154217	0.00115935550537926	0.0927023043388945	0.0118085847022611
5001	0.000430067592984031	0.0689410230641991	0.00679784299258824	0.000613485328910358	0.0783738130034046	0.00979147258707554	0.000447500018711616	0.0733886141043278	0.00935773758790018	0.000446457207742165	0.0711285597180626	0.00913375637075979	0.000457148263108487	0.0777125912351214	0.0096568668876298
6001	0.000174915547476375	0.058203477317239	0.00554741859431984	0.000244877208058785	0.0664158738729145	0.00812909180079011	0.000190872128972233	0.0631980017648969	0.00751552115395931	0.000178571587053739	0.0610567493552289	0.00698725516953296	0.00019308428596709	0.065939521838808	0.00780375582841979
7001	7.15390690156353e-05	0.0506826835711721	0.00446990441894723	0.000108657754072237	0.0582980136050109	0.00654619202494731	8.16473930278288e-05	0.0557090013204657	0.00585806283450411	7.90462872455933e-05	0.0544573812844849	0.00574731300926196	8.81125397145512e-05	0.0572589490656307	0.00601233276999085
8001	2.89090961943888e-05	0.045258235359968	0.00369395152352513	4.83116965940725e-05	0.0511034175958554	0.00574794032898403	3.7023950411444e-05	0.04940611852718	0.00474402577742543	3.30006263273161e-05	0.0482496755128942	0.00470660855254875	4.05516068836258e-05	0.0502493153393698	0.00506925291446657
9001	1.27084512135576e-05	0.0395525892366742	0.00321628756829309	2.14229538211712e-05	0.0455512521757028	0.00471923590528552	1.54970409911516e-05	0.0442942154092598	0.00410443359923713	1.35783238002584e-05	0.0437173867322084	0.00401773227241451	2.08152285632653e-05	0.0448814013007854	0.00421064425614293
