t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.00774251834477291	0.0487147501125246	0.00479184399458474	0.0108269384462588	0.0562998765706065	0.00752500090809508	0.00929501143468475	0.0511384401554098	0.0059086243254626	0.00888357904735281	0.0498846912910537	0.00550020491711275	0.00982914121961715	0.052270603973545	0.00655587307363527
10001	0.00247571797824821	0.0367117149433218	0.00112580747405459	0.0046164313299395	0.042607687956938	0.00261900926446797	0.00315293632258378	0.0391502454345586	0.00164761371858892	0.00296514373077337	0.0379846697680987	0.00136835454349319	0.00347709369948207	0.0400617724959139	0.00183935172168952
20001	0.00112752309934748	0.0284649682952496	0.00038032328909625	0.00169513623058305	0.033385537460052	0.00103958263297122	0.00134103740743447	0.0306603947190175	0.000549799366934309	0.00122943066146159	0.0294534676413395	0.000478796253582623	0.00145552216758364	0.0312850338261736	0.000746401550202328
30001	0.000525779037382822	0.0225430190803951	0.000142267699613958	0.000817574126733433	0.0272890624157302	0.000451405634560695	0.000633631583746142	0.0248067564187348	0.00024250718760394	0.000600437236513021	0.0237548388993047	0.000202176787498745	0.000692741523762331	0.0254267777531657	0.000295905001126054
40001	0.00029404686989538	0.0183489771546706	7.02043217101528e-05	0.000555094319930445	0.0228681564443895	0.000275031018909514	0.000368195301120776	0.020485902733585	0.000114154397053445	0.000343486367314048	0.0194813820613297	9.51057855323331e-05	0.000407230192796403	0.0211081533612088	0.000154905252779457
50001	0.000165542106560775	0.01524473506505	2.87946472177239e-05	0.000364954054702459	0.0195320916840388	0.000144149608467783	0.000227460618442212	0.0172419851076434	6.02707925476797e-05	0.00020504516822049	0.0163588038457896	5.02424261728565e-05	0.000248809340307159	0.0178608968256044	7.81486082740077e-05
60001	0.000100542756626242	0.012847481135236	1.30987109382162e-05	0.000263802236985143	0.0168801418123701	9.82359684955708e-05	0.000151819045141311	0.0147637444328148	3.22730901480304e-05	0.000128309396715694	0.014010236342182	2.61731039989963e-05	0.000170255666059268	0.015346335993863	4.56616879739995e-05
70001	5.7756262948226e-05	0.0111174055391841	6.27816091991812e-06	0.000202419408177685	0.0146779855766132	5.20184996339034e-05	0.000100466149624606	0.0128218163041343	1.59571314624758e-05	8.31315442029737e-05	0.0121229804375833	1.33816871022427e-05	0.000119994763141511	0.0133984909626224	2.26955520702567e-05
80001	3.60390649675488e-05	0.00969228277550091	3.09597538603751e-06	0.000156415950298057	0.0130219568064692	2.76757270465916e-05	6.67469989880723e-05	0.0112662266004693	8.53774389938495e-06	5.2818913919851e-05	0.010652960907871	7.16578607886416e-06	8.39010962331446e-05	0.0118491211091378	1.22351508306916e-05
90001	2.22265292675196e-05	0.00853065520367436	1.58395234264545e-06	0.00012097824139833	0.0115754582292625	1.88918065793729e-05	4.74600088074562e-05	0.00999434333330914	4.78767918760359e-06	3.49471364012786e-05	0.00946849098047412	3.82660726945788e-06	6.0068940604774e-05	0.0105213897281199	6.9601061048486e-06
100001	1.39530592036639e-05	0.00765719072841724	8.12456961123224e-07	9.80940118375631e-05	0.0103818149822267	1.32594617876833e-05	3.44226836626668e-05	0.00897006374568044	2.8313060127146e-06	2.43289736831268e-05	0.00847890344825958	2.11809556652207e-06	4.64629306411337e-05	0.00942041096622741	4.24852505189665e-06
110001	8.82991097902821e-06	0.00690133117553195	4.21724614748023e-07	7.55251299398176e-05	0.00934178710199659	1.04919927206302e-05	2.4975845224219e-05	0.00805582904113373	1.92446019346193e-06	1.70811467200946e-05	0.00764688595808399	1.27375026706134e-06	3.53399559460559e-05	0.00845002913171013	3.14002972935572e-06
120001	5.67575239040605e-06	0.00618451992055648	1.92151146810878e-07	6.00796731266676e-05	0.00845266133813844	5.52405405760387e-06	1.6893675768976e-05	0.00724454897797126	8.68424990101752e-07	1.06187287083488e-05	0.0068492624910792	6.58196097848762e-07	2.48830467031822e-05	0.00765262512581315	1.54286139056413e-06
130001	3.74511365807346e-06	0.0055634149920813	1.49290283836675e-07	4.58196609697776e-05	0.0077310505362481	4.44990785366479e-06	1.23535685689483e-05	0.00659541203404141	5.70378075880504e-07	7.36539812441247e-06	0.00621497952757314	3.82348963993162e-07	1.85323893079864e-05	0.00695007172923529	1.01300238306988e-06
140001	2.45800981482939e-06	0.0050565867367436	8.17082283638388e-08	3.89075566104612e-05	0.00708251069182116	3.14278356997723e-06	9.1250558752714e-06	0.00603041370615313	3.35296488310653e-07	5.18969486111406e-06	0.00567037327822543	2.41857054007629e-07	1.38940338712594e-05	0.00634652783507213	6.161591003967e-07
150001	1.58940759031055e-06	0.00462716255181841	4.98752563074483e-08	3.0537521882226e-05	0.00651880351427603	2.06965889657849e-06	6.72538306429422e-06	0.00555038717712911	1.99326919256136e-07	3.68880694593297e-06	0.00520775783102492	1.49576702084408e-07	1.04327203707787e-05	0.00582782759165962	4.08527494485085e-07
160001	1.03362666285112e-06	0.00422293523823091	3.27914720697998e-08	2.41660481854022e-05	0.00603063504196034	1.24041554603236e-06	4.71009026328547e-06	0.00511733793552867	1.09683662479525e-07	2.45520149877988e-06	0.00480196593526687	7.56820214932936e-08	7.45281048130651e-06	0.00536372304393847	2.46097675183804e-07
170001	7.04389212754124e-07	0.00385668879658273	2.68287279639598e-08	1.98220199807547e-05	0.00558000997789641	8.43357120626076e-07	3.32143613533846e-06	0.00473109644761583	6.88892885348531e-08	1.72055109459077e-06	0.0044355742775279	4.72405298644472e-08	5.55220253385175e-06	0.00495357718873712	1.67766567435532e-07
180001	4.5954567253664e-07	0.00356096703380694	2.53300982303741e-08	1.66129554128627e-05	0.00521953219857538	7.52107972690836e-07	2.54215293071982e-06	0.00441918593523572	5.09133719029794e-08	1.21957463985427e-06	0.00412101203527996	3.49615564205748e-08	4.33630069544281e-06	0.00460506491508521	1.1763710802967e-07
190001	2.94128923473622e-07	0.0032843183947897	2.47327211098278e-08	1.36881323694066e-05	0.00487540120042614	4.32813787147163e-07	1.82197320773198e-06	0.00410031927850691	3.51199682731502e-08	8.31976576020977e-07	0.00384924872469266	2.84806952674317e-08	3.16392565341449e-06	0.00426913057098845	7.20720142735637e-08
200001	1.99644085301273e-07	0.00305268873010105	2.39664890022736e-08	1.07171115806247e-05	0.00455955389924184	3.28352405611415e-07	1.27858452526292e-06	0.0038210043339411	2.91283962817942e-08	5.9250732550707e-07	0.0035765129430821	2.6373667494329e-08	2.39346523993805e-06	0.00397921280443055	4.82118877731984e-08
210001	1.27557202036623e-07	0.00283043187621695	2.34135455216404e-08	8.58926288763812e-06	0.00428110819160395	2.33285332114048e-07	9.35157258549701e-07	0.00355688707491602	2.65906665389129e-08	4.04710651926024e-07	0.00333057252512609	2.54662470967428e-08	1.74074410834713e-06	0.00371997795956249	3.54745533442742e-08
220001	8.08883197966274e-08	0.00264349305370005	2.28942843385061e-08	6.82628930977456e-06	0.00401114710763003	1.61883149414453e-07	6.67999853307474e-07	0.00334209514385748	2.58044921869523e-08	2.75649889169873e-07	0.00311263691240618	2.49163746406126e-08	1.30910723910173e-06	0.00345324099241811	2.95472965606968e-08
230001	5.53599639332999e-08	0.00246942868138274	2.24346966039411e-08	5.44190010713204e-06	0.00381563882857555	1.21438779365986e-07	4.83255090293581e-07	0.00314166334404211	2.50850470324653e-08	1.9470409045387e-07	0.00292842557533787	2.4375171231846e-08	1.00316860373425e-06	0.00328023185018285	2.73655823004115e-08
240001	3.49129646839373e-08	0.00232375565985123	2.21595262700685e-08	4.4212900915985e-06	0.0036385290519322	7.8383857616694e-08	3.44635098934354e-07	0.00295099302256708	2.46114569442439e-08	1.34432701565035e-07	0.00277254347390013	2.38979138432358e-08	7.76541383902836e-07	0.00309716322297803	2.59263757162155e-08
