t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.00884387004876458	0.0497592525840177	0.00612334171344992	0.00890020313750927	0.0510786871738371	0.00646690625435077	0.00887203659313692	0.0504189698789274	0.00629512398390034	0.00885795332095075	0.0500891112314726	0.00620923284867513	0.00888611986532309	0.0507488285263823	0.00638101511912556
10001	0.00272849853363812	0.0382258791099828	0.00165761412673777	0.00282009991032835	0.0393549539136689	0.0016707415141601	0.00277429922198324	0.0387904165118259	0.00166417782044894	0.00275139887781068	0.0385081478109044	0.00166089597359336	0.00279719956615579	0.0390726852127474	0.00166745966730452
20001	0.00115178869106334	0.030097185037879	0.000533876508642094	0.00134597321588135	0.030551453983679	0.000740066335187871	0.00124888095347234	0.030324319510779	0.000636971421914982	0.00120033482226784	0.030210752274329	0.000585423965278538	0.00129742708467685	0.030437886747229	0.000688518878551427
30001	0.000570688752900945	0.0241350298874103	0.000251755535900322	0.000667492113759833	0.0245517489284038	0.000322069596289694	0.000619090433330389	0.0243433894079071	0.000286912566095008	0.000594889593115667	0.0242392096476587	0.000269334050997665	0.000643291273545111	0.0244475691681554	0.000304491081192351
40001	0.000318314752615121	0.0199046313170699	0.000133158265065175	0.000390968835965587	0.0201571841487129	0.000275031018909514	0.000354641794290354	0.0200309077328914	0.000204094641987345	0.000336478273452738	0.0199677695249807	0.00016862645352626	0.000372805315127971	0.0200940459408022	0.00023956283044843
50001	0.000201060702854523	0.0167932378176027	7.90792804201148e-05	0.000271013878334734	0.0169206348864426	8.84110292598738e-05	0.000236037290594628	0.0168569363520227	8.37451548399943e-05	0.000218548996724575	0.0168250870848127	8.14122176300546e-05	0.000253525584464681	0.0168887856192327	8.60780920499341e-05
60001	0.000133589997169471	0.0143733925357165	4.22155704603778e-05	0.000201862889996357	0.0144378504223735	5.36832337607511e-05	0.000167726443582914	0.014405621479045	4.79494021105645e-05	0.000150658220376193	0.0143895070073808	4.50824862854711e-05	0.000184794666789636	0.0144217359507092	5.08163179356578e-05
70001	7.9909437450217e-05	0.0124481770823627	2.5445301991719e-05	0.000147131856476695	0.0126458602578252	3.37065590731976e-05	0.000113520646963456	0.0125470186700939	2.95759305324583e-05	9.67150422068365e-05	0.0124975978762283	2.75106162620886e-05	0.000130326251720075	0.0125964394639596	3.16412448028279e-05
80001	5.20170624296574e-05	0.0109275595097558	1.34152913761146e-05	0.000110007878155305	0.0111107272302885	2.66304052141204e-05	8.10124702924813e-05	0.0110191433700221	2.00228482951175e-05	6.65147663610694e-05	0.010973351439889	1.6719069835616e-05	9.55101742238932e-05	0.0110649353001553	2.33266267546189e-05
90001	3.35664835525401e-05	0.00969286944472506	7.93844585658748e-06	8.76050489544985e-05	0.00985564101688732	1.83609002040489e-05	6.05857662535193e-05	0.00977425523080619	1.31496730303182e-05	4.70761249030297e-05	0.00973356233776562	1.05440594434528e-05	7.40954076040089e-05	0.00981494812384676	1.57552866171836e-05
100001	2.42828796391068e-05	0.00865772525222142	5.53932154996262e-06	6.31857360259506e-05	0.00881846417378529	1.03978241047278e-05	4.37343078325287e-05	0.00873809471300336	7.9685728273452e-06	3.40085937358177e-05	0.00869790998261239	6.75394718865391e-06	5.34600219292396e-05	0.00877827944339432	9.18319846603649e-06
110001	1.72810705648915e-05	0.00780905433273109	3.57866242896602e-06	5.06538625970362e-05	0.0079410032302682	8.05385861643564e-06	3.39674665809639e-05	0.00787502878149964	5.81626052270083e-06	2.56242685729277e-05	0.00784204155711536	4.69746147583343e-06	4.23106645890001e-05	0.00790801600588392	6.93505956956824e-06
120001	1.05810185997044e-05	0.00708924165849434	2.34874522476638e-06	3.78598543570853e-05	0.00721024967604689	4.58072533700898e-06	2.42204364783948e-05	0.00714974566727062	3.46473528088768e-06	1.74007275390496e-05	0.00711949366288248	2.90674025282703e-06	3.104014541774e-05	0.00717999767165876	4.02273030894833e-06
130001	6.74232766036027e-06	0.00644197061786599	1.54908146135024e-06	3.12783723664834e-05	0.00656691840501501	3.59819929358283e-06	1.90103500134218e-05	0.0065044445114405	2.57364037746653e-06	1.28763388368911e-05	0.00647320756465325	2.06136091940839e-06	2.51443611899526e-05	0.00653568145822776	3.08591983552468e-06
140001	4.71231562136646e-06	0.0059167041822287	1.03932204122082e-06	2.4995916287132e-05	0.00600614426075034	2.63912804817519e-06	1.48541159542492e-05	0.00596142422148952	1.83922504469801e-06	9.78321578780785e-06	0.00593906420185911	1.43927354295942e-06	1.99250161206906e-05	0.00598378424111993	2.2391765464366e-06
150001	3.35707436186759e-06	0.00542421523946764	7.02733149453155e-07	1.91942752917152e-05	0.00552777550877516	1.78982062698811e-06	1.12756748267914e-05	0.0054759953741214	1.24627688822063e-06	7.31637459432949e-06	0.00545010530679452	9.74505018836893e-07	1.52349750592533e-05	0.00550188544144828	1.51804875760437e-06
160001	2.24284568857369e-06	0.00500689170080199	4.43699625287109e-07	1.56117286113167e-05	0.00510378449677317	1.18799785887417e-06	8.92728714994519e-06	0.00505533809878758	8.15848742080637e-07	5.58506641925944e-06	0.00503111489979479	6.29774183683873e-07	1.22695078806309e-05	0.00507956129778038	1.0019233004774e-06
170001	1.60944904103973e-06	0.00462913527800582	2.99905610681214e-07	1.20451761363732e-05	0.00473222201463602	8.43357120626076e-07	6.82731258870645e-06	0.00468067864632092	5.71631365653645e-07	4.21838081487309e-06	0.00465490696216337	4.3576848816743e-07	9.4362443625398e-06	0.00470645033047847	7.07494243139861e-07
180001	1.09156525675219e-06	0.00430335560655374	2.2225111811342e-07	1.08724321764093e-05	0.00441884659126479	7.52107972690836e-07	5.98199871658076e-06	0.00436110109890927	4.87179545402128e-07	3.53678198666648e-06	0.0043322283527315	3.54715331757774e-07	8.42721544649505e-06	0.00438997384508703	6.19643759046482e-07
190001	7.24776387490564e-07	0.00400714298290366	1.33433532407057e-07	7.80595990126835e-06	0.00410791680596475	4.32813787147163e-07	4.26536814437946e-06	0.0040575298944342	2.8312365977711e-07	2.49507226593501e-06	0.00403233643866893	2.08278596092084e-07	6.0356640228239e-06	0.00408272335019947	3.57968723462137e-07
200001	5.16156213295973e-07	0.00374396722743451	9.35320786178567e-08	6.60910749018458e-06	0.00383555144624455	3.28352405611415e-07	3.56263185174028e-06	0.00378975933683953	2.10942242114636e-07	2.03939403251812e-06	0.00376686328213702	1.52237160366246e-07	5.08586967096243e-06	0.00381265539154204	2.69647323863026e-07
210001	3.56138575949291e-07	0.00349694160752216	6.24949448971437e-08	5.23026016083232e-06	0.00358039738530703	2.33285332114048e-07	2.79319936839081e-06	0.0035386694964146	1.47890138505596e-07	1.57466897217005e-06	0.00351780555196838	1.0519254170137e-07	4.01172976461156e-06	0.00355953344086082	1.90587735309822e-07
220001	2.38839800585328e-07	0.00327663979498268	4.3516129870673e-08	4.11283220167356e-06	0.00337980013669003	1.61883149414453e-07	2.17583600112944e-06	0.00332821996583635	1.02699639642563e-07	1.20733790085738e-06	0.00330242988040952	7.3107884756618e-08	3.1443341014015e-06	0.00335401005126319	1.32291394528508e-07
230001	1.67223284205721e-07	0.00307269150450892	3.4292910474313e-08	3.35365076036579e-06	0.00318800886440554	1.21438779365986e-07	1.76043702228576e-06	0.00313035018445723	7.78658449201497e-08	9.63830153245738e-07	0.00310152084448307	5.60793776972313e-08	2.55704389132577e-06	0.00315917952443138	9.96523121430681e-08
240001	1.08989913020099e-07	0.00288371316612065	2.97283092811765e-08	2.59355212927882e-06	0.00300805079079853	7.8383857616694e-08	1.35127102114946e-06	0.00294588197845959	5.40560834489353e-08	7.30130467084779e-07	0.00291479757229012	4.18921963650559e-08	1.97241157521414e-06	0.00297696638462906	6.62199705328146e-08
