t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.0013653237292462	0.00126564462366145	0.000931390000680668	0.00144588426374648	0.0014753795888026	0.00109370391111264	0.00138738989696134	0.00144595999949555	0.00100113585490131	0.00137364238939849	0.00135464930075451	0.000978377886616828	0.00143378993516111	0.00145675109921386	0.00103852103900725
101	0.00136455578079331	0.00126494772954021	0.000664425510407064	0.00144494503939866	0.00147456089017165	0.000829931734829083	0.00138641249199272	0.00144510968599563	0.00076185627251973	0.00137287094246127	0.00135389271574486	0.000689117473278105	0.00143297669758756	0.00145596826375792	0.000814332456937836
201	0.00136374107546262	0.0012640380815431	0.000557609988515085	0.00144379748481361	0.00147361131076171	0.000669451454999613	0.0013855912158731	0.00144407226185177	0.000590153589165273	0.00137214324833466	0.00135328587949018	0.000565377003025841	0.00143219171371851	0.00145503787285103	0.000615115769984999
301	0.00136288431035584	0.00126326716039967	0.000460800013760327	0.0014427921154486	0.00147274414001527	0.000514897185764132	0.00138437261859118	0.00144316216790783	0.00046901305136653	0.00137119536494876	0.00135250314453932	0.000461045081860266	0.00143128529203872	0.00145407164286454	0.000509287484660885
401	0.00136194991993258	0.00126258586037558	0.000340264847005698	0.0014419042316576	0.00147161393965758	0.000416371017202781	0.0013834683318462	0.00144235822411535	0.000376243071295076	0.00137048805906375	0.00135165168322091	0.000353706408469715	0.00143063951254774	0.00145336571710026	0.000415341495796471
501	0.00136110651834239	0.00126198216328258	0.000277518234153023	0.00144116911658241	0.00147083022361725	0.000368010934158526	0.00138254465707837	0.00144169274910215	0.000298008344217362	0.00136969015146196	0.00135078516405359	0.000279146512835806	0.00142973837075106	0.00145242323431884	0.000344241066255354
601	0.00136036704065556	0.00126116854672509	0.000224013859832258	0.00144006728271641	0.00146984666960595	0.00034555224106038	0.00138168881191685	0.0014406949093554	0.000267214344584718	0.00136870657608019	0.00135001736821013	0.000252833193498052	0.00142887201734937	0.00145156743673998	0.000314755976817256
701	0.00135961174647613	0.00126053936219545	0.000196979820842694	0.00143910106337624	0.00146886287562222	0.000324581194046839	0.00138092554359448	0.00143982046190296	0.0002393817831362	0.00136764182724543	0.00134921129209075	0.000221588499292855	0.00142795813375767	0.0014508202465731	0.000298225277132109
801	0.00135888787535333	0.0012597604357824	0.000188525882213843	0.00143817915848916	0.00146800480687549	0.000249084149781886	0.0013800332955823	0.00143898452809979	0.000193345686649689	0.00136681366039179	0.00134862935819053	0.000190729781473034	0.00142711841153684	0.00144992786014386	0.000244956201580088
901	0.00135791523399538	0.00125900017155643	0.00016507479551365	0.00143725640163768	0.00146730188383173	0.000223665661690153	0.00137920738057772	0.00143814815535052	0.000173130973062408	0.00136600745833785	0.0013477560113307	0.000170439023958467	0.00142625619871764	0.00144897384673718	0.000211499382566065
1001	0.00135691716550683	0.00125816327223272	0.000139891268858533	0.00143623471698095	0.00146661021031542	0.000205333274686283	0.00137828257651063	0.00143722212730288	0.000157416049470682	0.00136538196160394	0.00134692241038052	0.000143999857656278	0.00142521587473043	0.00144813529665177	0.000163072509765531
1101	0.00135607867791363	0.00125744466663263	0.000123928040999855	0.00143533028240045	0.00146567740812595	0.00017262934664757	0.00137732088388856	0.00143640274476461	0.000128682297960041	0.00136460649481623	0.00134633296166375	0.000124895964731818	0.00142432995875828	0.00144729790796102	0.000135185727964429
1201	0.00135519775435007	0.00125676316334437	0.0001084221992283	0.00143434234548237	0.00146495799123738	0.000150132913534789	0.00137610605757287	0.00143550699698022	0.000112181316053743	0.00136366895585168	0.00134548457155074	0.000109467100683054	0.00142365995291514	0.00144636880051143	0.000123452712211714
1301	0.00135437602481542	0.00125603464017617	9.79434614520697e-05	0.00143331570404695	0.00146409887928224	0.000133404355321501	0.00137490244494689	0.00143457499039555	0.000100901918552032	0.00136270178754876	0.00134471971052589	9.99114839156796e-05	0.00142284157437549	0.00144560738330799	0.000110092824832261
1401	0.00135343002287191	0.00125545694618576	8.84655432236047e-05	0.00143240257428277	0.00146325023583603	0.000123754633559664	0.00137405084225926	0.00143374619464757	9.40076129405205e-05	0.00136186672010527	0.00134404014084328	9.22950659236866e-05	0.00142200782992984	0.00144487227107643	0.000106446618936851
1501	0.00135260541342286	0.00125467929799165	7.88222533046851e-05	0.00143125778230129	0.00146231297868736	0.000108803657089062	0.00137337745952893	0.00143270706232773	8.651741897747e-05	0.00136098038007573	0.0013432224774985	8.10304847023185e-05	0.00142120457604922	0.00144405363097349	9.16000074622448e-05
1601	0.00135161078381474	0.00125406555792803	7.32144072860085e-05	0.00143046795728324	0.00146161226001844	0.000104415686944856	0.00137243840663098	0.00143199020256271	8.4429414893703e-05	0.00136005933376717	0.00134246250250492	7.64440630096895e-05	0.00142029884275499	0.00144312194593868	8.61350887970353e-05
1701	0.00135068027537739	0.00125344145500629	6.46910082372142e-05	0.00142937569745993	0.00146041990096863	0.000102995244611924	0.00137143208283153	0.00143099913210673	8.01547453130718e-05	0.00135909378919828	0.00134167372022177	7.04005917013535e-05	0.00141955372237618	0.00144232954715042	8.05282256505587e-05
1801	0.00134986705013966	0.00125253303988871	6.20811537385425e-05	0.0014286150820293	0.00145962539955081	8.58756450123907e-05	0.00137024424184385	0.00143030937792822	7.3153267350169e-05	0.00135849012716981	0.00134092544943457	6.29518424174485e-05	0.00141886752774526	0.00144156475389608	7.72459621144547e-05
1901	0.00134923050479631	0.0012518144797863	5.55987893442684e-05	0.00142771625420095	0.00145876660914005	7.98718339554053e-05	0.00136947333540375	0.00142949393295197	6.25861939176135e-05	0.00135767499652143	0.00134022314039284	6.07702622073042e-05	0.00141800096526309	0.00144081978674242	7.70281249020482e-05
2001	0.00134858602830396	0.00125127749860336	5.11736576740081e-05	0.00142666554122476	0.00145799805043998	7.47793278253154e-05	0.00136837759421477	0.00142853967871544	5.8619649009492e-05	0.00135693923187299	0.00133946202552145	5.84218557143383e-05	0.00141711689841671	0.00144024074630894	6.96739562014009e-05
2101	0.00134779960981069	0.00125045827602051	4.55547494030899e-05	0.00142597232611867	0.00145721751830506	6.36951259616872e-05	0.00136757298208858	0.0014279099612771	5.65519681112876e-05	0.00135613570174683	0.00133883700239851	5.39012590527716e-05	0.00141634034647384	0.00143937380424879	5.77319371461382e-05
2201	0.00134704033306661	0.00124970473169651	3.98838622789286e-05	0.00142499222042577	0.00145622880435344	5.79800431630102e-05	0.00136662908706586	0.00142701893536128	5.24192303437937e-05	0.00135517727137038	0.00133791938946444	5.08849853886623e-05	0.00141539550291764	0.00143855848971906	5.42257842045841e-05
2301	0.00134603906667341	0.00124903095401448	3.36621981967085e-05	0.00142409621049713	0.00145522539208971	5.75809528599299e-05	0.00136583371256138	0.00142620470619681	4.66834252830328e-05	0.00135436526985498	0.00133726404672255	4.55496387786883e-05	0.0014145796264552	0.00143775491693163	5.33684617194249e-05
2401	0.0013452462733311	0.00124823705067462	3.24587501003303e-05	0.00142302730419122	0.00145438393446216	5.07187554406981e-05	0.00136506407410184	0.00142523245512729	4.24292531868473e-05	0.00135365587185833	0.0013364737210333	4.02981027364069e-05	0.00141360514654875	0.0014370296506216	4.69820817467748e-05
2501	0.00134427515747054	0.00124740541904355	2.87482098933912e-05	0.00142209887849266	0.00145371224674895	4.8128302181819e-05	0.00136408935352747	0.00142438782668956	3.8960331990276e-05	0.00135317273643712	0.00133571474865347	3.71705614637003e-05	0.00141258411883092	0.00143606812974364	3.89689686177691e-05
2601	0.00134361696680352	0.00124677215854551	2.51079948229166e-05	0.00142100578196354	0.00145292932649001	4.52799701201694e-05	0.00136302804154176	0.0014233936388594	3.70018754857077e-05	0.0013522808668385	0.00133522112302215	3.46380620851961e-05	0.00141185029308695	0.00143534644080906	3.7406854112716e-05
2701	0.00134289852417365	0.00124610170759216	2.47504514505801e-05	0.0014202097906753	0.00145217885154911	4.40517427580949e-05	0.00136231495619165	0.00142266997654985	3.45759814312067e-05	0.00135129575532361	0.00133468160241914	3.14750151494757e-05	0.001411139231758	0.00143458614767575	3.48073844076757e-05
2801	0.00134186561023076	0.00124537335013476	2.32797053538967e-05	0.001419166618641	0.00145116441516598	4.05900173532738e-05	0.0013615531362529	0.00142172043793283	3.13058050976868e-05	0.00135045790919507	0.00133404378030802	2.8408054332561e-05	0.00141034654290773	0.00143377565046676	3.28055062003911e-05
2901	0.00134098653714724	0.00124448407764364	2.0316278074525e-05	0.00141818235205686	0.00145013122945674	3.92504559555591e-05	0.00136056705639273	0.0014208256379935	2.84923921397068e-05	0.00134972228121737	0.00133331284300437	2.68440664484709e-05	0.00140948198747396	0.0014330954436481	3.2683658364712e-05
3001	0.00134035183372075	0.00124388213686981	1.87562559614808e-05	0.00141710822449567	0.00144925825713904	3.35482337496641e-05	0.00135986929275538	0.00141984765270713	2.59445017060002e-05	0.00134895606279347	0.00133257006455756	2.48499683413586e-05	0.00140867860895675	0.00143207067958463	2.99813254777297e-05
3101	0.00133956413870876	0.0012432210113031	1.86754135897008e-05	0.00141636779451685	0.00144788149554705	3.12018600283036e-05	0.00135892707095368	0.00141917387219983	2.49624864022914e-05	0.00134809059401321	0.00133161319088225	2.14212585889184e-05	0.00140765828540289	0.00143125823945739	2.96321661308589e-05
3201	0.00133885498875411	0.00124255855306432	1.7118045980159e-05	0.00141541877000424	0.00144699335384181	2.95434820796001e-05	0.00135795585368977	0.00141830947262726	2.32098164640561e-05	0.00134740485351099	0.00133084847244047	2.08642103745787e-05	0.00140682795480292	0.00143062921557961	2.90317908590896e-05
3301	0.00133824501325606	0.00124192573369411	1.57367786396322e-05	0.0014141431617936	0.00144629151373121	2.80003500401061e-05	0.00135711305586906	0.00141714856293484	2.0817478012635e-05	0.001346565404636	0.00133009143363653	1.93297977386407e-05	0.00140610104186405	0.00142980008747053	2.77499328492478e-05
3401	0.00133751882763715	0.00124145185511334	1.57310516891251e-05	0.00141330421549167	0.00144557915976837	2.69023818184369e-05	0.00135630773616206	0.00141638413729402	1.92645696006407e-05	0.00134569529251245	0.00132943416277505	1.79123959418469e-05	0.00140526650412512	0.00142904793963478	2.38933582081552e-05
3501	0.00133668323560617	0.00124076428381486	1.33744465989934e-05	0.00141234826304523	0.00144465115479923	2.62287954403365e-05	0.00135553943855605	0.00141551414855177	1.79625449466586e-05	0.00134480887570468	0.00132852077456236	1.66909557394343e-05	0.00140431170704537	0.00142804554347236	2.21610700744508e-05
